region_code,number_prefix,is_geographic,is_mobile,is_satellite
AR,549264440,0,1,0
AR,5492657687,0,1,0
AR,549115003,0,1,0
AR,5492626480,0,1,0
AR,5492364684,0,1,0
AR,5493446415,0,1,0
AR,5492223433,0,1,0
AR,549115604,0,1,0
AR,5492314407,0,1,0
AR,5492901525,0,1,0
AR,5492664611,0,1,0
AR,542214077,0,1,0
AR,549234641,0,1,0
AR,54911394,0,1,0
AR,5492286401,0,1,0
AR,5492657337,0,1,0
AR,549261543,0,1,0
AR,549264507,0,1,0
AR,5492265426,0,1,0
AR,543464454,0,1,0
AR,549115610,0,1,0
AR,5492223575,0,1,0
AR,549223600,0,1,0
AR,5492322242,0,1,0
AR,549224446,0,1,0
AR,5492625556,0,1,0
AR,549343521,0,1,0
AR,5492392688,0,1,0
AR,543414695,0,1,0
AR,5492604612,0,1,0
AR,549342426,0,1,0
AR,543425747,0,1,0
AR,5492302373,0,1,0
AR,5492364315,0,1,0
AR,5492604481,0,1,0
AR,549115096,0,1,0
AR,5493456458,0,1,0
AR,549115814,0,1,0
AR,5492396427,0,1,0
AR,5492623244,0,1,0
AR,549226644,0,1,0
AR,5492223423,0,1,0
AR,5492272403,0,1,0
AR,54117086,0,1,0
AR,549115461,0,1,0
AR,543813210,0,1,0
AR,5492292419,0,1,0
AR,5492625403,0,1,0
AR,5492252488,0,1,0
AR,549343696,0,1,0
AR,5492281543,0,1,0
AR,5492252408,0,1,0
AR,5492302588,0,1,0
AR,54911583,0,1,0
AR,5492227471,0,1,0
AR,5492901505,0,1,0
AR,54911505,0,1,0
AR,5492658402,0,1,0
AR,5492613725,0,1,0
AR,5492257559,0,1,0
AR,5492342506,0,1,0
AR,549226235,0,1,0
AR,549261347,0,1,0
AR,5492625452,0,1,0
AR,5492224498,0,1,0
AR,549226247,0,1,0
AR,5492358421,0,1,0
AR,5492323647,0,1,0
AR,5492396594,0,1,0
AR,5492304361,0,1,0
AR,549280451,0,1,0
AR,5492314406,0,1,0
AR,54911557,0,1,0
AR,5492623618,0,1,0
AR,549261598,0,1,0
AR,549115657,0,1,0
AR,54112007,0,1,0
AR,543571451,0,1,0
AR,5492335411,0,1,0
AR,5492623613,0,1,0
AR,5492804223,0,1,0
AR,549247768,0,1,0
AR,5492324560,0,1,0
AR,5492477488,0,1,0
AR,5492323616,0,1,0
AR,5492915161,0,1,0
AR,54114560,0,1,0
AR,5493446593,0,1,0
AR,5492634226,0,1,0
AR,5492223478,0,1,0
AR,549265266,0,1,0
AR,549260423,0,1,0
AR,5493424186,0,1,0
AR,549261587,0,1,0
AR,549341590,0,1,0
AR,5492664836,0,1,0
AR,5492322523,0,1,0
AR,5492364456,0,1,0
AR,549261337,0,1,0
AR,549261570,0,1,0
AR,542613801,0,1,0
AR,5492914606,0,1,0
AR,549221655,0,1,0
AR,543571450,0,1,0
AR,5492223534,0,1,0
AR,549344631,0,1,0
AR,5492656406,0,1,0
AR,549115163,0,1,0
AR,5493455444,0,1,0
AR,549114947,0,1,0
AR,549229358,0,1,0
AR,549343412,0,1,0
AR,5492273408,0,1,0
AR,5492331402,0,1,0
AR,5492604619,0,1,0
AR,5492394407,0,1,0
AR,549262266,0,1,0
AR,5492272400,0,1,0
AR,5492331417,0,1,0
AR,5493436988,0,1,0
AR,5492227449,0,1,0
AR,549261569,0,1,0
AR,54911588,0,1,0
AR,5492274401,0,1,0
AR,5492342411,0,1,0
AR,549115718,0,1,0
AR,5492478470,0,1,0
AR,5492623362,0,1,0
AR,5493455418,0,1,0
AR,549344446,0,1,0
AR,5492246461,0,1,0
AR,54291489,0,1,0
AR,5492634478,0,1,0
AR,549112157,0,1,0
AR,5492254585,0,1,0
AR,5492656416,0,1,0
AR,5492334407,0,1,0
AR,549236241,0,1,0
AR,5492362532,0,1,0
AR,549222754,0,1,0
AR,5493447453,0,1,0
AR,549222454,0,1,0
AR,549113370,0,1,0
AR,5492314441,0,1,0
AR,5492652749,0,1,0
AR,5492627545,0,1,0
AR,5492627646,0,1,0
AR,5492396423,0,1,0
AR,5492477489,0,1,0
AR,5492320261,0,1,0
AR,5492261400,0,1,0
AR,5492281554,0,1,0
AR,5492657257,0,1,0
AR,5492314403,0,1,0
AR,5492346626,0,1,0
AR,5492224480,0,1,0
AR,5492664749,0,1,0
AR,5492281541,0,1,0
AR,5492627383,0,1,0
AR,549341627,0,1,0
AR,5492324653,0,1,0
AR,5492656414,0,1,0
AR,549230456,0,1,0
AR,54232201,0,1,0
AR,5492362300,0,1,0
AR,5492226477,0,1,0
AR,5491153311,0,1,0
AR,5492494492,0,1,0
AR,541145626,0,1,0
AR,5492622313,0,1,0
AR,54922368,0,1,0
AR,54341,1,0,0
AR,5492323640,0,1,0
AR,549114068,0,1,0
AR,549115955,0,1,0
AR,5492345431,0,1,0
AR,5492474468,0,1,0
AR,542325450,0,1,0
AR,549112399,0,1,0
AR,5492346458,0,1,0
AR,549223646,0,1,0
AR,5492317484,0,1,0
AR,5493437418,0,1,0
AR,5492254588,0,1,0
AR,549225541,0,1,0
AR,549116287,0,1,0
AR,549263480,0,1,0
AR,5492622621,0,1,0
AR,5492623555,0,1,0
AR,54381,1,0,0
AR,5492494546,0,1,0
AR,5492664835,0,1,0
AR,549261541,0,1,0
AR,549221639,0,1,0
AR,5492325465,0,1,0
AR,549115023,0,1,0
AR,549265767,0,1,0
AR,5493426353,0,1,0
AR,5492362557,0,1,0
AR,5492364457,0,1,0
AR,549262723,0,1,0
AR,549112726,0,1,0
AR,549342552,0,1,0
AR,5492623201,0,1,0
AR,5492648402,0,1,0
AR,5492281479,0,1,0
AR,549112725,0,1,0
AR,5492494475,0,1,0
AR,5492364336,0,1,0
AR,5493409458,0,1,0
AR,5492257520,0,1,0
AR,54911504,0,1,0
AR,5492627385,0,1,0
AR,549114188,0,1,0
AR,543434772,0,1,0
AR,5492324624,0,1,0
AR,549264450,0,1,0
AR,5492244514,0,1,0
AR,54911621,0,1,0
AR,54911324,0,1,0
AR,542325451,0,1,0
AR,5492362455,0,1,0
AR,549221555,0,1,0
AR,5492923466,0,1,0
AR,5492317527,0,1,0
AR,5492317528,0,1,0
AR,542915510,0,1,0
AR,5492281472,0,1,0
AR,5492245517,0,1,0
AR,5492612111,0,1,0
AR,5492326496,0,1,0
AR,5492314529,0,1,0
AR,5492395465,0,1,0
AR,5492364459,0,1,0
AR,5492627322,0,1,0
AR,5492804779,0,1,0
AR,5492664467,0,1,0
AR,5493456436,0,1,0
AR,5492266473,0,1,0
AR,54911619,0,1,0
AR,5492477469,0,1,0
AR,5492358402,0,1,0
AR,549115039,0,1,0
AR,5492281477,0,1,0
AR,5492227445,0,1,0
AR,5492664786,0,1,0
AR,549344255,0,1,0
AR,5492623479,0,1,0
AR,543541467,0,1,0
AR,549221566,0,1,0
AR,549261613,0,1,0
AR,543412362,0,1,0
AR,5493435506,0,1,0
AR,5492355551,0,1,0
AR,5492634599,0,1,0
AR,5492281683,0,1,0
AR,5492345457,0,1,0
AR,549114435,0,1,0
AR,5492325458,0,1,0
AR,5492362344,0,1,0
AR,5492478472,0,1,0
AR,5492267675,0,1,0
AR,5492477698,0,1,0
AR,5492362450,0,1,0
AR,549341670,0,1,0
AR,549261664,0,1,0
AR,549261532,0,1,0
AR,5492473416,0,1,0
AR,5492241602,0,1,0
AR,5492262482,0,1,0
AR,5492804573,0,1,0
AR,549114980,0,1,0
AR,5492622561,0,1,0
AR,5492242401,0,1,0
AR,5492297409,0,1,0
AR,5492354408,0,1,0
AR,549115797,0,1,0
AR,5492494308,0,1,0
AR,5492343414,0,1,0
AR,5492651419,0,1,0
AR,5492266661,0,1,0
AR,5493447457,0,1,0
AR,5492657262,0,1,0
AR,54911229,0,1,0
AR,5492334423,0,1,0
AR,549114094,0,1,0
AR,5492474460,0,1,0
AR,5492293205,0,1,0
AR,549342440,0,1,0
AR,5492901494,0,1,0
AR,5492241409,0,1,0
AR,5492652629,0,1,0
AR,549264404,0,1,0
AR,5492627547,0,1,0
AR,5492293572,0,1,0
AR,549223633,0,1,0
AR,5492622469,0,1,0
AR,5492284566,0,1,0
AR,549261219,0,1,0
AR,5492241578,0,1,0
AR,5492804505,0,1,0
AR,5492317504,0,1,0
AR,5493446599,0,1,0
AR,5492342485,0,1,0
AR,549223601,0,1,0
AR,549115623,0,1,0
AR,549115858,0,1,0
AR,5492364318,0,1,0
AR,5492268415,0,1,0
AR,549262356,0,1,0
AR,549229364,0,1,0
AR,5492623570,0,1,0
AR,542304517,0,1,0
AR,5492297410,0,1,0
AR,5492494499,0,1,0
AR,549345412,0,1,0
AR,549113830,0,1,0
AR,5493442531,0,1,0
AR,5492325467,0,1,0
AR,549341227,0,1,0
AR,5492477313,0,1,0
AR,5492920526,0,1,0
AR,5492325414,0,1,0
AR,549342473,0,1,0
AR,5492392570,0,1,0
AR,549291470,0,1,0
AR,541153307,0,1,0
AR,549230221,0,1,0
AR,5492634204,0,1,0
AR,5492262480,0,1,0
AR,5492475434,0,1,0
AR,5492352467,0,1,0
AR,5492317580,0,1,0
AR,549344661,0,1,0
AR,5492652467,0,1,0
AR,549234552,0,1,0
AR,5492664559,0,1,0
AR,5492477607,0,1,0
AR,549115942,0,1,0
AR,5492396411,0,1,0
AR,5492267471,0,1,0
AR,54911275,0,1,0
AR,549344637,0,1,0
AR,5492395431,0,1,0
AR,543434771,0,1,0
AR,5492243405,0,1,0
AR,54911682,0,1,0
AR,549114027,0,1,0
AR,5492304696,0,1,0
AR,5492634224,0,1,0
AR,5492286408,0,1,0
AR,5492284355,0,1,0
AR,5492245478,0,1,0
AR,5493442481,0,1,0
AR,5492262615,0,1,0
AR,5492273433,0,1,0
AR,5492272404,0,1,0
AR,5492627612,0,1,0
AR,549114185,0,1,0
AR,5492324617,0,1,0
AR,5492302457,0,1,0
AR,549115923,0,1,0
AR,5492604513,0,1,0
AR,5492314487,0,1,0
AR,5492227581,0,1,0
AR,5492302354,0,1,0
AR,549116335,0,1,0
AR,5492342547,0,1,0
AR,5493442483,0,1,0
AR,542996138,0,1,0
AR,5492324559,0,1,0
AR,549236258,0,1,0
AR,549221303,0,1,0
AR,542613804,0,1,0
AR,5492245552,0,1,0
AR,549262757,0,1,0
AR,5492262485,0,1,0
AR,5492324687,0,1,0
AR,5492364296,0,1,0
AR,549114989,0,1,0
AR,5492478440,0,1,0
AR,549221642,0,1,0
AR,5492236565,0,1,0
AR,5492625417,0,1,0
AR,5493456442,0,1,0
AR,5492265401,0,1,0
AR,5492225431,0,1,0
AR,549261466,0,1,0
AR,5492342573,0,1,0
AR,5492804341,0,1,0
AR,549261525,0,1,0
AR,549234566,0,1,0
AR,5492285411,0,1,0
AR,5492623225,0,1,0
AR,5492246441,0,1,0
AR,549225763,0,1,0
AR,549223541,0,1,0
AR,549115995,0,1,0
AR,5492284464,0,1,0
AR,5492323651,0,1,0
AR,5492281545,0,1,0
AR,549264543,0,1,0
AR,5492392532,0,1,0
AR,5492604483,0,1,0
AR,5492374271,0,1,0
AR,5492335474,0,1,0
AR,54117071,0,1,0
AR,5492223428,0,1,0
AR,5492364201,0,1,0
AR,5492355456,0,1,0
AR,5492362227,0,1,0
AR,549228153,0,1,0
AR,549265761,0,1,0
AR,5492346511,0,1,0
AR,542323231,0,1,0
AR,5493447499,0,1,0
AR,5492623553,0,1,0
AR,5492293546,0,1,0
AR,5492657665,0,1,0
AR,5493455479,0,1,0
AR,549342428,0,1,0
AR,5492658407,0,1,0
AR,5492362556,0,1,0
AR,549115515,0,1,0
AR,5493456520,0,1,0
AR,5492314414,0,1,0
AR,549261554,0,1,0
AR,5492346459,0,1,0
AR,549263477,0,1,0
AR,5493455558,0,1,0
AR,549115458,0,1,0
AR,549223543,0,1,0
AR,5492478441,0,1,0
AR,54911641,0,1,0
AR,542915004,0,1,0
AR,549115060,0,1,0
AR,549114440,0,1,0
AR,549223619,0,1,0
AR,5492352465,0,1,0
AR,549266401,0,1,0
AR,5492334400,0,1,0
AR,549221622,0,1,0
AR,5492221414,0,1,0
AR,5492634362,0,1,0
AR,5492244476,0,1,0
AR,543484229,0,1,0
AR,549263451,0,1,0
AR,5492224505,0,1,0
AR,543414701,0,1,0
AR,549249433,0,1,0
AR,5492364222,0,1,0
AR,5492302376,0,1,0
AR,5492627224,0,1,0
AR,543414049,0,1,0
AR,5492223576,0,1,0
AR,549343404,0,1,0
AR,5492474475,0,1,0
AR,5492262595,0,1,0
AR,5492235846,0,1,0
AR,54113997,0,1,0
AR,5492338403,0,1,0
AR,549261333,0,1,0
AR,5492920371,0,1,0
AR,5492494672,0,1,0
AR,5492227464,0,1,0
AR,5492285402,0,1,0
AR,5492268445,0,1,0
AR,5492622629,0,1,0
AR,5492342556,0,1,0
AR,549228457,0,1,0
AR,542364461,0,1,0
AR,5492656447,0,1,0
AR,5492634557,0,1,0
AR,5493408455,0,1,0
AR,549222764,0,1,0
AR,549239244,0,1,0
AR,5492296409,0,1,0
AR,5492494465,0,1,0
AR,549249427,0,1,0
AR,5492392682,0,1,0
AR,5492623577,0,1,0
AR,5492266516,0,1,0
AR,5492664733,0,1,0
AR,5493447412,0,1,0
AR,549247750,0,1,0
AR,549265288,0,1,0
AR,5492656449,0,1,0
